score, temperature, max_tokens, top_p, frequency_penalty, presence_panaltyarticle_number, message,  discription
2.73, 1, 256, 1, 0, 0, "다음 뉴스 기사를 3문장으로 요약해, 총 답변의 길이는 150자 이내로 제한한다.", "150자 제한"
2.58, 1, 256, 1, 2, 0, "다음 뉴스 기사를 3문장으로 요약해, 총 답변의 길이는 150자 이내로 제한한다.", "150자 제한, frequency_penalty 2"
2.68, 0, 256, 0.5, 2, -1, "다음 뉴스 기사를 3문장으로 요약해, 총 답변의 길이는 150자 이내로 제한한다.", "150자 제한, aihub 기준"
2.85, 1, 256, 1, 0, 0, "다음 뉴스 기사를 3문장으로 요약해 다음은 뉴스 기사의 제목이야 + title + 다음은 뉴스 기사의 본문이야 + content", "title 포함"
