origin,temperature0,temperature0.5,temperature1.5,temperature2,topp0.5,topp0.1,frequencypenalty-2,frequencypenalty-1,frequencypenalty1,frequencypenalty2,presencepenalty-2,presencepenalty-1,presencepenalty1,presencepenalty2
0.030775940366714518,0.04444444444444445,0.031234086359480988,0.025641025641025644,0.021463884769178394,0.03125,0.023255813953488372,0.0625,0.02702702702702703,0.06451612903225806,0.08571428571428572,0.0,0.06666666666666667,0.024390243902439022,0.026315789473684213
0.08873330465502226,0.08751852961546502,0.09266227927313372,0.03138010541270028,0.0,0.1293958329907204,0.13630967041253517,0.013157894736842106,0.09343786807900437,0.11123344308809696,0.08873330465502226,0.10601863254308294,0.14445338363324614,0.13870883016646562,0.09534295121836885
0.09477041558009897,0.17310993243825867,0.11184795976440373,0.1509433962264151,0.044776119402985065,0.17058674804417814,0.17310993243825867,0.0782608695652174,0.2115788063134273,0.17310993243825867,0.18068670978306423,0.14814814814814814,0.2115788063134273,0.14327788178864684,0.169811320754717
0.18277322059724224,0.0324457350764677,0.03782182867955225,0.07080007118830953,0.0,0.12229938330834778,0.0324457350764677,0.18506293769917967,0.21311475409836064,0.14002285064525236,0.16287073524647272,0.04838709677419353,0.23214285714285715,0.07080007118830953,0.08064516129032258
0.054054054054054064,0.042553191489361694,0.04651162790697675,0.08319468916366543,0.0,0.042553191489361694,0.042553191489361694,0.0,0.02702702702702703,0.12500000000000003,0.054054054054054064,0.02083333333333333,0.03773584905660377,0.033898305084745756,0.10000000000000002
0.14545454545454545,0.09840064733621882,0.17996302172823142,0.018612544500887306,0.07675925816055104,0.0778800783071405,0.09840064733621882,0.05333333333333334,0.11857242257255368,0.18644067796610173,0.0979158982979873,0.05660377358490567,0.18867924528301888,0.05978588817557519,0.27976359165683196
0.14263674213533445,0.12280701754385966,0.10526315789473682,0.03278688524590164,0.0,0.11111111111111109,0.07131837106766722,0.0,0.06451612903225806,0.035270071870442246,0.03383435594394615,0.07054014374088449,0.043478260869565216,0.12698412698412698,0.047619047619047616
0.10344827586206899,0.29310344827586204,0.08615320931896162,0.06666666666666667,9.789408443986835e-05,0.2833333333333333,0.2833333333333333,0.15971766683177746,0.18644067796610173,0.1746031746031746,0.3166666666666666,0.36065573770491804,0.15517241379310345,0.16393442622950818,0.06698968674714313
0.13058715484908356,0.14434368719145324,0.2047672688655696,0.19247907497041683,0.002608984115693626,0.160482747233267,0.1533651676409191,0.011897524471076787,0.0725136754102735,0.11317553420253905,0.1260689260693385,0.12441549916353059,0.16262247764640347,0.1287750690197048,0.11169123756303798
0.08333333333333333,0.12121212121212123,0.09803921568627452,0.021739130434782608,0.0,0.10416666666666666,0.12121212121212123,0.13109555049426316,0.06976744186046512,0.0,0.033898305084745756,0.075,0.11111111111111109,0.11627906976744189,0.1020408163265306
